въпрос,а,б,в,г,верен отговор
 Какво е ролята на пикочния мехур в регулирането на водния баланс в организма?,Регулира телесната температура,Регулира кръвното налягане,"Съхранява и отделя урината, като по този начин участва в регулирането на водния баланс",Разгражда белтъци,"Съхранява и отделя урината, като по този начин участва в регулирането на водния баланс"
 Какъв е ефектът на алкохола върху уринирането?,Намалява уринирането,Няма ефект върху уринирането,Увеличава уринирането,Намалява абсорбцията на вода,Увеличава уринирането
 Какво представлява задържането на урина (уринарна ретенция)?,Неспособност за започване на уриниране,Често уриниране,Намалено уриниране,Увеличено уриниране,Неспособност за започване на уриниране
 Какво представлява инконтиненцията на урина?,Неспособност за задържане на урина,Намалено уриниране,Увеличено уриниране,Често уриниране,Неспособност за задържане на урина
 Какво представлява дизурията?,Често уриниране,Болезнено или затруднено уриниране,Намалено уриниране,Липса на уриниране,Болезнено или затруднено уриниране
 Какво представлява полиурията?,Намалено уриниране,Често уриниране с увеличен обем на урината,Болезнено уриниране,Липса на уриниране,Често уриниране с увеличен обем на урината
 Какво представлява олигурията?,Увеличено уриниране,Намалено уриниране,Болезнено уриниране,Често уриниране,Намалено уриниране
 Какво представлява анурията?,Липса на уриниране,Увеличено уриниране,Болезнено уриниране,Често уриниране,Липса на уриниране
 Какво представлява хематурията?,Липса на уриниране,Кръв в урината,Болезнено уриниране,Увеличено уриниране,Кръв в урината
 Какво представлява пиурията?,Липса на уриниране,Увеличено уриниране,Болезнено уриниране,Гной в урината,Гной в урината
 Какво е функцията на пикочния мехур при задържане на урина?,Да разгражда белтъци,Да съхранява урината докато не бъде отделена,Да регулира телесната температура,Да съхранява глюкоза,Да съхранява урината докато не бъде отделена
 Какво представлява рефлексната дъга за уриниране?,Процес на абсорбция на вода,Процес на разграждане на белтъци,"Нервен път, който контролира съкращенията на пикочния мехур и сфинктерите за уриниране",Процес на производство на урина,"Нервен път, който контролира съкращенията на пикочния мехур и сфинктерите за уриниране"
 Каква е ролята на простатната жлеза в уринирането при мъжете?,Да регулира кръвното налягане,Да съхранява урина,Да подпомага преминаването на урината през пикочния канал,Да разгражда белтъци,Да подпомага преминаването на урината през пикочния канал
 Какво представлява простатната хиперплазия?,Увеличено уриниране,Намалено уриниране,"Увеличаване на простатната жлеза, което може да затрудни уринирането",Намаляване на простатната жлеза,"Увеличаване на простатната жлеза, което може да затрудни уринирането"
 Какво представлява уретритът?,Възпаление на пикочния мехур,Възпаление на бъбреците,Възпаление на пикочния канал,Възпаление на пикочопроводите,Възпаление на пикочния канал
 Какво представлява циститът?,Възпаление на пикочния мехур,Възпаление на бъбреците,Възпаление на пикочния канал,Възпаление на пикочопроводите,Възпаление на пикочния мехур
 Какво представлява пиелонефритът?,Възпаление на пикочния мехур,Възпаление на бъбречното легенче и бъбречната тъкан,Възпаление на пикочния канал,Възпаление на пикочопроводите,Възпаление на бъбречното легенче и бъбречната тъкан
 Какво представлява гломерулонефритът?,Възпаление на пикочния мехур,Възпаление на бъбречното легенче,Възпаление на гломерулите в бъбреците,Възпаление на пикочния канал,Възпаление на гломерулите в бъбреците
 Какво представлява уринарната инфекция?,Инфекция на кръвта,Инфекция на червата,"Инфекция на пикочната система, включително пикочопроводите, пикочния мехур, пикочния канал",Инфекция на кожата,"Инфекция на пикочната система, включително пикочопроводите, пикочния мехур, пикочния канал"
 Какво предизвиква камъни в бъбреците?,Прекомерен прием на вода,"Натрупване на калциеви соли, пикочна киселина и други вещества",Липса на сол в диетата,Инфекция на пикочния мехур,"Натрупване на калциеви соли, пикочна киселина и други вещества"
 Какво представлява уролитиазата?,Възпаление на пикочния мехур,Образуване на камъни в пикочната система,Инфекция на пикочния канал,Възпаление на пикочопроводите,Образуване на камъни в пикочната система
 Какво представлява хидронефрозата?,Възпаление на пикочния мехур,Разширение на бъбречното легенче и чашките поради натрупване на урина,Инфекция на пикочния канал,Възпаление на пикочопроводите,Разширение на бъбречното легенче и чашките поради натрупване на урина
 Какво представлява нефролитиазата?,Възпаление на пикочния мехур,Образуване на камъни в бъбреците,Инфекция на пикочния канал,Възпаление на пикочопроводите,Образуване на камъни в бъбреците
 Какво представлява хематурията?,Липса на уриниране,Кръв в урината,Болезнено уриниране,Увеличено уриниране,Кръв в урината
 Какво представлява уринарната инконтиненция?,Неспособност за задържане на урина,Намалено уриниране,Увеличено уриниране,Често уриниране,Неспособност за задържане на урина
 Какво представлява дизурията?,Болезнено или затруднено уриниране,Често уриниране,Липса на уриниране,Увеличено уриниране,Болезнено или затруднено уриниране
 Какво представлява полиурията?,Липса на уриниране,Намалено уриниране,Често уриниране с увеличен обем на урината,Болезнено уриниране,Често уриниране с увеличен обем на урината
 Какво представлява олигурията?,Увеличено уриниране,Липса на уриниране,Болезнено уриниране,Намалено уриниране,Намалено уриниране
 Какво представлява анурията?,Липса на уриниране,Увеличено уриниране,Болезнено уриниране,Често уриниране,Липса на уриниране
 Какво представлява хематурията?,Болезнено уриниране,Кръв в урината,Увеличено уриниране,Липса на уриниране,Кръв в урината
 Какво представлява пиурията?,Гной в урината,Кръв в урината,Болезнено уриниране,Липса на уриниране,Гной в урината
 Каква е ролята на пикочния мехур в задържането на урина?,Да разгражда белтъци,Да регулира телесната температура,Да съхранява урината докато не бъде отделена,Да съхранява глюкоза,Да съхранява урината докато не бъде отделена
 Какво представлява рефлексната дъга за уриниране?,Процес на абсорбция на вода,Процес на производство на урина,"Нервен път, който контролира съкращенията на пикочния мехур и сфинктерите за уриниране",Процес на разграждане на белтъци,"Нервен път, който контролира съкращенията на пикочния мехур и сфинктерите за уриниране"
 Какво е функцията на простатната жлеза в уринирането при мъжете?,Да съхранява урина,Да регулира кръвното налягане,Да подпомага преминаването на урината през пикочния канал,Да разгражда белтъци,Да подпомага преминаването на урината през пикочния канал
 Какво представлява простатната хиперплазия?,Намаляване на простатната жлеза,"Увеличаване на простатната жлеза, което може да затрудни уринирането",Увеличено уриниране,Намалено уриниране,"Увеличаване на простатната жлеза, което може да затрудни уринирането"
 Какво представлява уретритът?,Възпаление на бъбреците,Възпаление на пикочния мехур,Възпаление на пикочния канал,Възпаление на пикочопроводите,Възпаление на пикочния канал
 Какво представлява циститът?,Възпаление на бъбреците,Възпаление на пикочния канал,Възпаление на пикочния мехур,Възпаление на пикочопроводите,Възпаление на пикочния мехур
 Какво представлява пиелонефритът?,Възпаление на пикочния канал,Възпаление на пикочния мехур,Възпаление на бъбречното легенче и бъбречната тъкан,Възпаление на пикочопроводите,Възпаление на бъбречното легенче и бъбречната тъкан
 Какво представлява гломерулонефритът?,Възпаление на пикочния канал,Възпаление на гломерулите в бъбреците,Възпаление на пикочния мехур,Възпаление на пикочопроводите,Възпаление на гломерулите в бъбреците
 Какво представлява уринарната инфекция?,Инфекция на кожата,Инфекция на червата,"Инфекция на пикочната система, включително пикочопроводите, пикочния мехур, пикочния канал",Инфекция на кръвта,"Инфекция на пикочната система, включително пикочопроводите, пикочния мехур, пикочния канал"
 Какво предизвиква камъни в бъбреците?,Прекомерен прием на вода,Липса на сол в диетата,Инфекция на пикочния мехур,"Натрупване на калциеви соли, пикочна киселина и други вещества","Натрупване на калциеви соли, пикочна киселина и други вещества"
 Какво представлява уролитиазата?,Образуване на камъни в пикочната система,Възпаление на пикочния мехур,Инфекция на пикочния канал,Възпаление на пикочопроводите,Образуване на камъни в пикочната система
 Какво представлява хидронефрозата?,Възпаление на пикочния канал,Възпаление на пикочопроводите,Разширение на бъбречното легенче и чашките поради натрупване на урина,Възпаление на пикочния мехур,Разширение на бъбречното легенче и чашките поради натрупване на урина
 Какво представлява нефролитиазата?,Възпаление на пикочния канал,Образуване на камъни в бъбреците,Възпаление на пикочния мехур,Възпаление на пикочопроводите,Образуване на камъни в бъбреците
 Какво представлява хематурията?,Болезнено уриниране,Липса на уриниране,Кръв в урината,Увеличено уриниране,Кръв в урината
 Какво представлява уринарната инконтиненция?,Увеличено уриниране,Намалено уриниране,Неспособност за задържанена урина,Болезнено уриниране,Неспособност за задържане на урина
